NodeId;LNodeId;XDbId;XPos;YPos
11010031;11010017;137236;396849,7636;90849,09447
11010032;11010018;0;396621,182;90949,072
11010033;11010019;0;396579,9342;90995,19906
11010034;11010020;0;396632,9163;91023,9175
11010035;11010021;0;396691,5071;91050,6689
11010036;11010022;0;396725,2054;91040,06323
11010037;11010023;137843;396524,0818;90965,75739
11010038;11010024;129728;396559,3943;90960,57077
11010039;11010019;0;396579,9342;90995,19906
11010040;11010020;0;396632,9163;91023,9175
11010041;11010021;0;396691,5071;91050,6689
11010042;11010018;0;396621,182;90949,072
11010043;11010022;0;396725,2054;91040,06323
11010044;11010017;137236;396849,7636;90849,09447
12041710;12041022;7007245;396631,9494;91352,4952
12041711;12041022;7007245;396631,9494;91352,4952
12041712;12041022;7007245;396631,9494;91352,4952
12041713;12041022;7007245;396631,9494;91352,4952
12041714;12041022;7007245;396631,9494;91352,4952
12041715;12041022;7007245;396631,9494;91352,4952
12041716;12041022;7007245;396631,9494;91352,4952
12041717;12041022;7007245;396631,9494;91352,4952
12041718;12041022;7007245;396631,9494;91352,4952
12041719;12041022;7007245;396631,9494;91352,4952
12041720;12041022;7007245;396631,9494;91352,4952
12041721;12041022;7007245;396631,9494;91352,4952
12041722;12041022;7007245;396631,9494;91352,4952
12041723;12041022;7007245;396631,9494;91352,4952
12041724;12041022;7007245;396631,9494;91352,4952
12041725;12041022;7007245;396631,9494;91352,4952
12041726;12041022;7007245;396631,9494;91352,4952
12041727;12041022;7007245;396631,9494;91352,4952
12041729;12041022;7007245;396631,9494;91352,4952
12041731;12041022;7007245;396631,9494;91352,4952
12041732;12041022;7007245;396631,9494;91352,4952
12042173;12041989;7012254;396779,4247;90925,95982
12042180;12041991;7000861;396872,9979;90854,12832
12042181;12041992;7000841;397141,9241;90787,99083
12042182;12041992;7000841;397141,9241;90787,99083
12043395;12041987;7000851;396806,9083;91137,40761
12043396;12041987;7000851;396806,9083;91137,40761
12043397;12041988;7044490;396752,4086;91048,84323
12043398;12041988;7044490;396752,4086;91048,84323
12043399;12041989;7012254;396779,4247;90925,95982
12043402;12041991;7000861;396872,9979;90854,12832
12043404;12041992;7000841;397141,9241;90787,99083
12043405;12041992;7000841;397141,9241;90787,99083
12043406;12041993;7000850;397244,2159;90894,21947
12043407;12041993;7000850;397244,2159;90894,21947
12043408;12041994;7000849;397197,2834;90978,85339
12043409;12041994;7000849;397197,2834;90978,85339
14062292;14061454;7096939;397218,1336;90969,82154
14062516;14061609;7098611;396836,5546;90858,09025
14062517;14061609;7098611;396836,5546;90858,09025
14062518;14061609;7098611;396836,5546;90858,09025
14062604;14061671;137183;396856,2573;90847,13261
14062606;14061673;0;396799,9935;91038,97576
14062607;14061674;160519;396838,448;91020,61709
14062608;14061675;169380;396908,2046;91020,62865
14062609;14061676;0;396681,5348;91029,85606
14062610;14061676;118817;396681,5348;91029,85606
14062611;14061676;118818;396681,5348;91029,85606
14062612;14061676;118820;396681,5348;91029,85606
14062613;14061677;0;396639,029;91009,653
14062614;14061677;118819;396639,029;91009,653
14062615;14061677;127182;396639,029;91009,653
14062616;14061678;0;396696,1522;91041,10869
14062617;14061679;0;396771,3966;91041,94944
12043936;12041022;7007245;396631,9494;91352,4952
12043959;12041022;7007245;396631,9494;91352,4952
12043978;12041989;7012254;396779,4247;90925,95982
14062618;14061679;31749;396771,3966;91041,94944
14062619;14061679;31750;396771,3966;91041,94944
14062624;14061679;129065;396771,3966;91041,94944
14062625;14061679;144143;396771,3966;91041,94944
14062626;14061680;0;396977,8177;91090,93875
14062627;14061680;156861;396977,8177;91090,93875
14062628;14061680;156862;396977,8177;91090,93875
14062629;14061680;157344;396977,8177;91090,93875
14062630;14061681;0;396723,4617;91029,47156
14062631;14061681;129064;396723,4617;91029,47156
14062632;14061682;0;396723,3602;91023,76608
14062633;14061682;129066;396723,3602;91023,76608
14062634;14061683;0;396723,3897;91014,68642
14062635;14061684;0;396620,05;90963,71588
14062636;14061684;118966;396620,05;90963,71588
14062637;14061685;0;396638,7758;90936,78249
14062638;14061675;169380;396908,2046;91020,62865
14062639;14061674;160519;396838,448;91020,61709
14062640;14061686;0;396787,5033;90926,87119
14062641;14061686;177462;396787,5033;90926,87119
14062642;14061687;0;396795,5177;90927,17173
14062646;14061671;137183;396856,2573;90847,13261
14062647;14061688;0;396888,0037;90776,1379
14062648;14061688;0;396888,0037;90776,1379
14062649;14061689;0;396915,2374;90774,39346
14062650;14061689;166132;396915,2374;90774,39346
14062651;14061690;0;397157,2447;90888,18179
14062652;14061690;0;397157,2447;90888,18179
14062653;14061691;0;397248,2143;90880,47679
14062654;14061691;168239;397248,2143;90880,47679
14062655;14061692;0;397186,9679;90876,54204
14062656;14061692;156623;397186,9679;90876,54204
14062657;14061693;0;397232,7464;90880,54359
14062658;14061694;0;397148,3652;90892,08864
14062659;14061694;137246;397148,3652;90892,08864
14062660;14061695;0;397139,1777;90891,88091
14062661;14061695;137245;397139,1777;90891,88091
14062662;14061696;0;397131,286;90891,70602
14062663;14061697;0;397166,4165;90887,25245
14062664;14061697;137249;397166,4165;90887,25245
14062665;14061698;0;397173,8705;90886,20113
14062666;14061698;137251;397173,8705;90886,20113
14062667;14061699;0;397180,6479;90885,5616
14062668;14061700;0;397104,2338;90892,05018
14062669;14061701;0;397074,0768;90894,74185
14062670;14061702;0;397080,8922;90893,82804
14062671;14061702;137241;397080,8922;90893,82804
14062672;14061700;137242;397104,2338;90892,05018
14062673;14061703;0;397116,0735;90908,19464
14062674;14061703;176299;397116,0735;90908,19464
14062675;14061704;0;397155,5553;90878,9113
14062676;14061705;0;397247,3545;90873,10074
14062677;14061705;141940;397247,3545;90873,10074
14062678;14061706;0;397232,634;90825,4494
14062679;14061706;0;397232,634;90825,4494
14062680;14061707;0;397220,7261;90828,19435
14062681;14061707;165439;397220,7261;90828,19435
14062682;14061708;0;397253,4625;90824,05299
14062683;14061708;139794;397253,4625;90824,05299
14062684;14061709;0;397253,4403;90814,91361
14062685;14061709;137219;397253,4403;90814,91361
14062686;14061710;0;397246,7521;90865,18535
14062687;14061710;137256;397246,7521;90865,18535
14062688;14061710;137258;397246,7521;90865,18535
14062689;14061710;137255;397246,7521;90865,18535
14062690;14061693;145574;397232,7464;90880,54359
14062691;14061693;145575;397232,7464;90880,54359
14062692;14061693;147336;397232,7464;90880,54359
14062693;14061693;147719;397232,7464;90880,54359
14062694;14061693;175632;397232,7464;90880,54359
14062695;14061711;0;397098,3322;91077,95636
14062696;14061711;137285;397098,3322;91077,95636
14062697;14061711;137289;397098,3322;91077,95636
14062698;14061712;0;397020,5367;90992,62334
14062699;14061712;0;397020,5367;90992,62334
14062700;14061713;0;397015,0805;90955,886
14062701;14061713;170141;397015,0805;90955,886
14062702;14061714;0;397110,1194;90984,54811
14062703;14061714;175339;397110,1194;90984,54811
14062704;14061715;0;397054,5062;91042,23263
14062705;14061715;143965;397054,5062;91042,23263
14062706;14061716;0;397165,7042;90993,12589
14062707;14061716;137187;397165,7042;90993,12589
14062708;14061717;0;397109,6206;90820,76125
14062709;14061718;0;397067,8105;90828,99499
14062710;14061718;137268;397067,8105;90828,99499
14062711;14061718;137270;397067,8105;90828,99499
14062712;14061719;0;397129,3755;90805,79625
14062713;14061719;137266;397129,3755;90805,79625
14062714;14061720;0;397137,3438;90808,24187
14062715;14061720;172457;397137,3438;90808,24187
14062716;14061721;0;397113,3073;90928,61624
14062717;14061721;137210;397113,3073;90928,61624
14062718;14061721;137238;397113,3073;90928,61624
14062719;14061721;137279;397113,3073;90928,61624
14062720;14061721;164995;397113,3073;90928,61624
14062721;14061722;0;397065,7954;90762,99742
14062722;14061722;137195;397065,7954;90762,99742
14062723;14061722;137212;397065,7954;90762,99742
14062724;14061722;137213;397065,7954;90762,99742
14062725;14061722;137274;397065,7954;90762,99742
14062726;14061723;0;397007,2123;90753,73222
14062727;14061723;137216;397007,2123;90753,73222
14062728;14061723;137271;397007,2123;90753,73222
14062729;14061723;141304;397007,2123;90753,73222
14062730;14061723;141481;397007,2123;90753,73222
14062731;14061723;150831;397007,2123;90753,73222
14062732;14061723;156532;397007,2123;90753,73222
14062733;14061723;175579;397007,2123;90753,73222
14062734;14061724;0;397011,289;90743,12547
14062735;14061725;0;397005,3304;90717,37079
14062736;14061726;0;397011,8534;90707,86778
14062737;14061727;0;397124,3238;90754,03394
14062738;14061727;137267;397124,3238;90754,03394
14062739;14061728;0;397172,1749;90782,26878
14062740;14061729;0;397282,2763;90776,9036
14062741;14061730;0;397324,272;90773,85662
14062742;14061729;137217;397282,2763;90776,9036
14062743;14061730;137260;397324,272;90773,85662
14062744;14061730;137262;397324,272;90773,85662
14062745;14061731;0;397078,063;90832,20758
14062746;14061731;170576;397078,063;90832,20758
14062747;14061713;171295;397015,0805;90955,886
14062748;14061713;170142;397015,0805;90955,886
14062749;14061713;169181;397015,0805;90955,886
14062750;14061678;137253;396696,1522;91041,10869
14062751;14061696;137243;397131,286;90891,70602
14062752;14061732;0;397190,7223;90884,94732
14062753;14061686;145466;396787,5033;90926,87119
14062754;14061686;165340;396787,5033;90926,87119
14062755;14061686;178567;396787,5033;90926,87119
14062756;14061733;0;396805,5431;90935,56506
14062757;14061734;0;396929,6085;91099,25523
14062758;14061735;0;396951,9642;91104,64584
14062759;14061736;n_vodovodna2;396971,2279;91108,85473
14062760;14061737;0;396999,2626;91116,61026
14062761;14061738;0;396929,2289;91106,95749
14062762;14061738;31755;396929,2289;91106,95749
14062763;14061739;0;397017,5828;91099,62622
14062764;14061739;31752;397017,5828;91099,62622
14062765;14061739;119613;397017,5828;91099,62622
14062766;14061740;0;396967,2157;91115,07994
14062767;14061740;31753;396967,2157;91115,07994
14062768;14061741;0;396991,8696;91106,44348
14062769;14061741;2340;396991,8696;91106,44348